Left context,Center,Right context,Created,Sphere,Type,Full context
идут смотреть что-нибудь более злободневное (, а-ля ,"трансформеры ( образно)), взрослые вешают этой детской ",2007-2011,"нехудожественная, электронная коммуникация",форум,"Дети отходят от телевизера на 5- 10 минуте, идут смотреть что-нибудь более злободневное ( а-ля трансформеры ( образно)), взрослые вешают этой детской вещи награды. [коллективный. Форум: Обсуждение фильма «Война и Мир» (2007-2011)] [омонимия не снята]"
Носил усики, а-ля ,"Адольф Менжу, был так же изящен ",2004,"нехудожественная, электронная коммуникация",форум,"Носил усики а-ля Адольф Менжу, был так же изящен и ― как только открыл рот ― оказался действительно французом. [Женщина + мужчина: Секс (форум) (2004)] [омонимия не снята]"
лакеи и повара расчесывают капуль, а-ля ,"дурак, а горничные стригут челки, посещают ",2002,"нехудожественная, публицистика",статья,"Кухарки, например, пьют с утра до ночи кофей и носят широчайшие драповые тальмы; лакеи и повара расчесывают капуль а-ля дурак, а горничные стригут челки, посещают театры и маскарады и выходят со двора не иначе, как в шляпах фик- фок на один бок. [Анна Карабаш. Если задыхаться, то только от нежности // «Домовой», 2002.08.04] [омонимия не снята]"
"в моду вошел, называется чай", а-ля ,рюсс нуво.  ,1991,художественная,рассказ,"Он там даже в моду вошел, называется чай а-ля рюсс нуво.   [Галина Щербакова. Эмиграция по-русску... // «Огонек». № 9 (3319), 1991] [омонимия не снята]"
"шерстяных « клубных» носочках, в платке «", а-ля ,отрыв» и с румяненьким внуком на ,1982,"нехудожественная, публицистика",мемуары,"Представляю себя лет этак в пятьдесят: в шерстяных « клубных» носочках, в платке « а-ля отрыв» и с румяненьким внуком на руках…   [Леонид Утесов. «Спасибо, сердце!» (1982)] [омонимия не снята]"
"молодой мужчина, с кокетливыми височками", а-ля ,семидесятые и победительной улыбкой.  ,2002,художественная,рассказ,"В конце коридора появился одетый в белый халат молодой мужчина, с кокетливыми височками а-ля семидесятые и победительной улыбкой.   [Гала Рудых. Такой устойчивый мир // «Октябрь», 2002] [омонимия не снята]"
Мебель «, а-ля ,грек».,2002,художественная,рассказ,"Мебель « а-ля грек». [Гала Рудых. Такой устойчивый мир // «Октябрь», 2002] [омонимия не снята]"
роскошным своим столом в сутане, а-ля ,"Бальзак и бархатной черной шапочке, среди ",2003,художественная,роман,"В тот час, ― в те минуты, когда два сердца терпеливо учились биться согласно, седой мэтр изящной словесности, сидя за роскошным своим столом в сутане а-ля-Бальзак и бархатной черной шапочке, среди описания великосветского раута, занявшего четыре дня и выходящего довольно удачно, почувствовал вдруг прилив томительных и глухих строк мелькающего стихотворения. [Гоар Маркосян-Каспер. Кариатиды // «Звезда», 2003] [омонимия не снята]"
"конечно, очень рассерженный молодой физик (", а-ля ,Сэлинджер ― Хемингуэй ― Ремарк ― Осборн).,1934,художественная,мемуары,"Герой « повестухи», конечно, физик и, конечно, очень рассерженный молодой физик ( а-ля Сэлинджер ― Хемингуэй ― Ремарк ― Осборн). [Андрей Белый. Между двух революций (1934)] [омонимия не снята]"
то есть не писать картину, а-ля ,"Рембрандт, а-ля Рубенс и",1923,художественная,рассказ,"Для успеха в этом мне надо было совершенно оставить все правила и манеры, двенадцатилетним копированием в Эрмитаже приобретенные, а приняться за средства, употребляемые Гранетом, ― и они мне открылись в самом простом виде, состоящем в том, чтобы ничего не изображать иначе, чем в натуре является, и повиноваться ей одной, без примеси манеры какого-либо художника, то есть не писать картину а-ля Рембрандт, а-ля Рубенс и [А. С. Грин. Блистающий мир (1923)] [омонимия не снята]"
"но просто, как бы сказать,", а-ля ,натура.  ,1923,художественная,рассказ,"прочее, но просто, как бы сказать, а-ля натура.   [А. С. Грин. Блистающий мир (1923)] [омонимия не снята]"
Чистое фотографирование?, А-ля ,натура? ,1923,художественная,рассказ,Чистое фотографирование? А-ля натура?  [А. С. Грин. Блистающий мир (1923)] [омонимия не снята]
А насчет фотографирования (, а-ля ,натура) художник в своем кредо все-таки ,1923,художественная,рассказ,А насчет фотографирования ( а-ля натура) художник в своем кредо все-таки наклепал на себя. [А. С. Грин. Блистающий мир (1923)] [омонимия не снята]
"то, чтобы не писать даже «", а-ля ,"натура», но писать саму натуру, копируя ",1923,художественная,рассказ,"Венецианов ратует за то, чтобы не писать даже « а-ля натура», но писать саму натуру, копируя скрупулезно и досконально. [А. С. Грин. Блистающий мир (1923)] [омонимия не снята]"
Мюзетты с лихвой компенсирует внешностью, а-ля ,Ханна Шигулла и дешевыми премьерскими повадками ,1939,"нехудожественная, публицистика",мемуары,"Зато Хибла Герзмава в роли разбитной Мюзетты с лихвой компенсирует внешностью а-ля Ханна Шигулла и дешевыми премьерскими повадками полное отсутствие инструмента, которым полагается петь в опере.   [Е. П. Петров. Из воспоминаний об Ильфе (1939)] [омонимия не снята]"
в своей клетчатой потертой рубахе, а-ля ,ковбой.  ,1990,художественная,рассказ,"Все-таки он удивительно симпатичный, этот Саша, в своей клетчатой потертой рубахе а-ля ковбой.   [Сергей Довлатов. Переводные картинки // «Иностранная литература», 1990] [омонимия снята]"
"Печориным, стригся по новейшей моде ― «", а-ля ,полька»…,1981,"нехудожественная, публицистика",мемуары,"Он еще воображал себя порою то героем из какого-нибудь романа Марлинского, то даже Печориным, стригся по новейшей моде ― « а-ля-полька»… [С. А. Дангулов. Шагал (1981)] [омонимия не снята]"
"друзей, холодный бал с закусочкой", а-ля ,фуршет.,1980-1993,художественная,рассказ,"Здоровый вернулся из театра, а больной, оказывается, устроил небольшой разворот для друзей, холодный бал с закусочкой а-ля фуршет. [Юрий Коваль. Веселье сердечное (1980-1993)] [омонимия не снята]"
Так, а-ля ,дьябль- с или прикажете а-ля капуль? ,1986,художественная,повесть,Так а-ля дьябль- с или прикажете а-ля капуль?  [Виктор Некрасов. Маленькая печальная повесть (1986)] [омонимия не снята]
дачный участок с поросячьим домиком, а-ля ,Ниф- Ниф.,1970,"нехудожественная, публицистика",статья,"Когда-то родители приобрели за городом дачный участок с поросячьим домиком а-ля Ниф- Ниф. [Ю. Мелентьев. О гончарах, красоте и градостроительстве // «Огонек». № 3, 1970] [омонимия не снята]"
"Шестнадцать долларов ― "" Потроха", а-ля ,"Канн"".",1998,"нехудожественная, публицистика",мемуары,"Шестнадцать долларов ― "" Потроха а-ля Канн"". [Константин Ваншенкин. Писательский клуб (1998)] [омонимия не снята]"
уже никогда не вернутся деды «, а-ля ,Суслов».,1998,"нехудожественная, публицистика",мемуары,"Впрочем, при любом раскладе на смену дальневосточному Ричарду Гиру уже никогда не вернутся деды « а-ля Суслов». [Алексей Козлов. Козел на саксе (1998)] [омонимия не снята]"
"нужное время раскрыться, от руки,", а-ля ,"прима, раскрашенная",1926-1934,"нехудожественная, публицистика",мемуары,"Вырезанная грубовато, с обобщенными, весьма условными очертаниями, но зато и по-своему выразительная, наподобие народной игрушки русской, из цельного куска дерева, да вдобавок еще и наивно, по-детски, в два- три цвета, но тоже ведь выразительно, завершая весь образ легко и свободно, что вообще поразительно, представление сразу давая о сути, рождая метафору, затаившуюся внутри, но готовую в нужное время раскрыться, от руки, а-ля прима, раскрашенная [В. А. Гиляровский. Москва и москвичи (1926-1934)] [омонимия не снята]"
"размашистой кистью, за один прием,", а-ля ,"прима, нарисованными, с маху, с вырвавшимся ",1926-1934,"нехудожественная, публицистика",мемуары,"по акварельной, китайской желтизне кожуры даже усеянными, будто бы чьей-то веселой, размашистой кистью, за один прием, а-ля прима, нарисованными, с маху, с вырвавшимся из-под контроля разума, детским отчаянным озорством, ― эх, была не была!  [В. А. Гиляровский. Москва и москвичи (1926-1934)] [омонимия не снята]"
"строже, чем у девчонок ― майки", а-ля ,"дядя Коля с будуна», шортики из ",1976,художественная,очерк,"У них униформированность даже строже, чем у девчонок ― майки а-ля  «дядя Коля с будуна», шортики из белого эластика, белые носки и кроссовки.   [Василий Аксенов. Круглые сутки нон-стоп // «Новый Мир», 1976] [омонимия снята]"
"мифологии, в бартовском же космосе", а-ля ,"русская матрешка» все со всем связано, ",2001,"нехудожественная, публицистика",заметка,"Но то ― в истории мифологии, в бартовском же космосе а-ля «русская матрешка» все со всем связано, а точнее ― все во все вложено. [Екатерина Бычкова. Дешево и невкусно // «Аргументы и факты», 2001.03.07] [омонимия не снята]"
Никаких проб и ошибок, а-ля ,тысяча девятьсот четырнадцать» или « тысяча девятьсот ,2003,"нехудожественная, публицистика",статья,"Никаких проб и ошибок а-ля «тысяча девятьсот четырнадцать» или « тысяча девятьсот тридцать девять». [Дмитрий Медведев. Модели боя, или ради чего мы хлопочем // «Боевое искусство планеты», 2003.12.08] [омонимия не снята]"
"бородкой, в розовой вязаной кепке", а-ля ,Боб Марли.,2003,"нехудожественная, публицистика",статья,"Татуировщик оказался черным сухощавым мужчиной с курчавой бородкой, в розовой вязаной кепке а-ля Боб Марли. [Дмитрий Медведев. Модели боя, или ради чего мы хлопочем // «Боевое искусство планеты», 2003.12.08] [омонимия не снята]"
"ненависть, лебединое озеро безвыходной страсти", а-ля ,Людвиг Баварский ― волновали создателя спектакля.,2004,"нехудожественная, публицистика",заметка,"Конечно, не дела « финдесьекля» ― Одетта- Одилия, любовь- ненависть, лебединое озеро безвыходной страсти а-ля Людвиг Баварский ― волновали создателя спектакля. [С миру по гонке // «За рулем», 2004.04.15] [омонимия не снята]"
облачен в кирасу и шлем, а-ля ,"конкистадор ― они решили, что так респектабельнее, ",2006,художественная,очерк,"Парсуны завоевателя Сибири Ермака, нарисованные художниками- иностранцами: на них храбрый казак облачен в кирасу и шлем а-ля конкистадор ― они решили, что так респектабельнее, чем в его собственной кольчуге.   [Михаил Гиголашвили. Красный озноб Тингитаны: Записки о Марокко (2006) // «Нева», 2008] [омонимия не снята]"
привыкли видеть в суконной фуражке, а-ля ,Киров.  ,1990,художественная,рассказ,"Ослы!  ― удивительно нежно пожурил он нас, и на голове у него появилась шляпа, нелепая соломенная шляпа тонкой выделки с ажурными разводами мелких дырочек для дыхания головы, услада периферийного домовладельца, очень нелепая на голове нашего отца, которого в детстве мы привыкли видеть в суконной фуражке а-ля Киров.   [Вячеслав Рыбаков. Сказка об убежище (1990)] [омонимия не снята]"
В перерыве был, а-ля ,фуршет.  ,1980,художественная,роман,В перерыве был а-ля-фуршет.   [Ю. В. Трифонов. Время и место (1980)] [омонимия не снята]
упитанного человека с маленькими усиками, а-ля ,Гитлер.  ,2014.12.30,"нехудожественная, электронная коммуникация",форум,"Воздушная гимнастка Валентина Суркова, Михаил Шуйдин, я и переводчица пересели из автобуса ( нам не хватило мест) в машину нашего импресарио господина Алквиста, важного, упитанного человека с маленькими усиками а-ля Гитлер.   [коллективный. Вопрос к жителям Казани и Чебоксар ― что посмотреть, куда сходить? (2014.12.30)] [омонимия не снята]"
Сейчас это обычно, а-ля ,"фуршет, ― стоя, неудобно, но тоже не ",2001,"нехудожественная, публицистика",статья,"Сейчас это обычно а-ля фуршет, ― стоя, неудобно, но тоже не жалуются. [Александр Мельников. Дорога в розовом цвете. Солнцезащитные очки могут стать причиной аварии // «Известия», 2001.06.18] [омонимия не снята]"
"Нет, лучше в отделение замороженных,", а-ля ,криогенная камера.,1977,художественная,рассказ,"Нет, лучше в отделение замороженных, а-ля криогенная камера. [Александр Щербаков. Золотой куб // «Техника - молодежи», 1977] [омонимия не снята]"
случаях видеть только стремление сделать «, а-ля ,,1979,"нехудожественная, публицистика",мемуары,"Конечно, воспроизведение того, что было достижением прошлых веков, не стало да и не могло стать серьезным течением в архитектуре, но в обращении к истокам на каком-то этапе развития едва ли полезно во всех случаях видеть только стремление сделать « а-ля». [Юрий Никулин. Как я стал клоуном (1979)] [омонимия не снята]"
"разворота как у Брюса, бросок «", а-ля ,Стивен Сигал» или любой другой не ,2003,художественная,эссе,"Конечно удар пяткой в прыжке с разворота как у Брюса, бросок « а-ля Стивен Сигал» или любой другой не менее зрелищный элемент. [Андрей Битов. Русский устный и русский письменный // «Звезда», 2003] [омонимия не снята]"
"в джинсовом костюме, в сапогах «", а-ля ,"мушкетер Боярский», явилась Паша в родные ",1863-1874,художественная,"очерк, цикл","Перекрашенная в золотой цвет, с шапкой завитых, да и не завитых, а прямо-таки взвихренных волос, с засиненными веками, в джинсовом костюме, в сапогах « а-ля мушкетер Боярский», явилась Паша в родные края, бурная, все сокрушающая, с цигаркой в зубах.   [М. Е. Салтыков-Щедрин. Помпадуры и помпадурши (1863-1874)] [омонимия не снята]"
могут оказаться какие-нибудь приятные сюрпризы, а-ля ,Годзилла).,1929-1930,"нехудожественная, публицистика",очерк,"Чудовище обретается там же, в озере Бросно ( оно существует чуть ли не с ледникового периода, а значит, верят в « Сегоднячко», там вполне могут оказаться какие-нибудь приятные сюрпризы а-ля Годзилла). [Л. С. Овалов. Ход сражения (1929-1930)] [омонимия не снята]"
и « Масленкино» с пятнистыми буренками, а-ля ,рюс на обертках.  ,1963,художественная,роман,"Валио» можно купить и под своим названием, и под загадочным ― « Midnight», а также под русскими ― « Китеж "" и « Масленкино» с пятнистыми буренками а-ля рюс на обертках.   [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]"
"его остановился и поднял руку,", а-ля ,Медный всадник:   ,2003,"нехудожественная, учебно-научная",интервью,"В конце его остановился и поднял руку, а-ля Медный всадник:    [Как получить миллиард… удовольствий // «Ландшафтный дизайн», 2003.03.15] [омонимия не снята]"
Стрижка, а-ля ,Япония  ,2002,"нехудожественная, учебно-научная",статья,"Стрижка а-ля Япония   [Александр Сапелин. Искусство медленно жить // «Ландшафтный дизайн», 2002.05.15] [омонимия не снята]"
собственный эксклюзивный вариант хвойного растения, а-ля ,садовый « бонсай».  ,2002,"нехудожественная, учебно-научная",статья,"В результате получите собственный эксклюзивный вариант хвойного растения а-ля садовый « бонсай».   [Александр Сапелин. Искусство медленно жить // «Ландшафтный дизайн», 2002.05.15] [омонимия не снята]"
Мебель, а-ля ,Помпадур- с.,1990,художественная,пьеса,Мебель а-ля Помпадур- с. [И. А. Бродский. Демократия! (1990)] [омонимия не снята]
Бёф, а-ля ,"мод с трюфелями, стерляди паровые, вальдшнепы ",1990,художественная,пьеса,"Бёф а-ля мод с трюфелями, стерляди паровые, вальдшнепы жареные в кастрюлях… да чтоб ворчали, когда подаешь… [И. А. Бродский. Демократия! (1990)] [омонимия не снята]"
Я думал сначала, а-ля ,"фуршет, да после рассудил, что ужин ",1990,художественная,пьеса,"Я думал сначала а-ля фуршет, да после рассудил, что ужин будет солиднее. [И. А. Бродский. Демократия! (1990)] [омонимия не снята]"
Бойтесь и очков «, а-ля ,полароид».,2007,художественная,роман,Бойтесь и очков « а-ля полароид». [Михаил Елизаров. Библиотекарь (2007)] [омонимия не снята]
появились посеребренные ложечки для чая «, а-ля ,рюс».,1975-1977,"нехудожественная, публицистика",мемуары,К концу XIX века в каталогах этой марки даже появились посеребренные ложечки для чая « а-ля рюс». [Е. С. Гинзбург. Крутой маршрут: Часть 2 (1975-1977)] [омонимия не снята]
зеркальные очки и мефистофельские бородки, а-ля ,Лорд.,2009,художественная,роман,"Пара Логов по обе стороны от Лорда, хранители Лордовских костылей ― по одному на брата, у обоих зеркальные очки и мефистофельские бородки а-ля Лорд. [Мариам Петросян. Дом, в котором... (2009)] [омонимия не снята]"
прядь волос поперек колена головы., А-ля ,"Лукашенко, что из Белоруссии.",2011,"нехудожественная, электронная коммуникация",форум,"прядь волос поперек колена головы. А-ля Лукашенко, что из Белоруссии. [коллективный. Форум: АЭС Фукусима. Реактор на припое (2011)] [омонимия не снята]"
"страх клизмы, напялили бы очки", а-ля ,Иван Демидов.,2011,"нехудожественная, электронная коммуникация",форум,"Мы бы продемонстрировали прямоходящего Витьку, чистенького и в « фирме», а на глаза его, в которых сидели тоска и страх клизмы, напялили бы очки а-ля Иван Демидов. [коллективный. Форум: АЭС Фукусима. Реактор на припое (2011)] [омонимия не снята]"
борода представляла собою щеголеватое украшение «, а-ля ,шкипер».,2001,"нехудожественная, публицистика",статья,"Нынешняя апостольская борода представляла собою щеголеватое украшение « а-ля шкипер». [Василий Головнин. Бабуля на токийском вокзале. Япония пошла по пути СССР // «Известия», 2001.09.03] [омонимия не снята]"
"в стиле Помпадур, то ли", а-ля ,"Людовик Четырнадцатый, как непринужденно отмечают в ",2004,художественная,роман,"В окно был виден верхний этаж соседнего дома и над ним небо, по- утреннему голубое, почти того же цвета, что обои в комнате, очень светло-синий фон и по нему букетики, маленькие такие, изящные, то ли в стиле Помпадур, то ли а-ля Людовик Четырнадцатый, как непринужденно отмечают в своих описаниях французские романисты, но армяне в убранствах и декорах разбираются слабо, не до того им [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]"
"не думаю, что я нигилист", а-ля ,Ницше.,1999,"нехудожественная, публицистика",заметка,"Я сыграл немало ролей нигилистов, но не думаю, что я нигилист а-ля Ницше. [Приятного аппетита // «Знание - сила», 1999] [омонимия не снята]"
"доверху кителе, с аккуратно подстриженной «", а-ля ,мужик» бородкой.,2000,художественная,роман,"Навстречу мне вышел худощавый хозяин, в черном, застегнутом доверху кителе, с аккуратно подстриженной « а-ля-мужик» бородкой. [Максим Милованов. Кафе «Зоопарк» (2000)] [омонимия не снята]"
и в меню стояло: салат, а-ля ,Лидин- Байдаров.,1980-1981,художественная,роман,Так и в меню стояло: салат а-ля Лидин- Байдаров. [В. П. Катаев. Юношеский роман (1980-1981)] [омонимия не снята]
конвоира охраняют именно эту закуску, а-ля ,фуршет.,1997,художественная,роман,Четыре конвоира охраняют именно эту закуску а-ля фуршет. [Галина Щербакова. Армия любовников (1997)] [омонимия не снята]
"хиппи, не считая официантов, одетых", а-ля ,хиппи?,1998,"нехудожественная, публицистика",мемуары,"А есть ли здесь хоть один хиппи, не считая официантов, одетых а-ля хиппи? [Михаил Козаков. О дяде Толе Мариенгофе (1998)] [омонимия не снята]"
"ждать закона о преследовании натуралов,", а-ля ,статье « за мужеложество» в СССР.,2007,"нехудожественная, публицистика",статья,"Ты, дурачок, постарайся понять одну простую вещь: с такими темпами « геезации», каковые наблюдаются в « цивилизованных» странах, недолго ждать закона о преследовании натуралов, а-ля статье « за мужеложество» в СССР. [Сергей Максимишин. Тобольск // «Русский репортер», № 1 (1), 17-24 мая 2007] [омонимия не снята]"
"крикливость, несоразмерность, словом, эдакий стиль «", а-ля ,мадам Брошкина».,2001,"нехудожественная, публицистика",эссе,"В результате пестрота, крикливость, несоразмерность, словом, эдакий стиль « а-ля мадам Брошкина». [Светлана Васильева. Первый встречный (вольное сочинение на тему «Слово и театр») // «Октябрь», 2001] [омонимия не снята]"
"решеточки, обвитые плющом, две горки", а-ля ,"помпадур, уставленные фарфоровыми чашками; между них ",1877,художественная,пьеса,"Войдя в диванную, вы тотчас заметите, что последнее путешествие Маргариты Степановны за границу принесло свои плоды: эта диванная отделана и убрана почти во вкусе нашего времени: стены оклеены малиновыми насыпными обоями под рытый бархат; по обеим сторонам дивана трельяж, то есть деревянные решеточки, обвитые плющом, две горки а-ля помпадур, уставленные фарфоровыми чашками; между них несколько китайских болванчиков, и в том числе преважный мандарин [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]"
"к разговаривающим молодой человек, причесанный", а-ля ,"мужик, в широкополом фраке, который с ",1877,художественная,пьеса,"Петербургский житель улыбнулся и хотел что-то сказать, как вдруг подошел к разговаривающим молодой человек, причесанный а-ля мужик, в широкополом фраке, который с первого взгляда походил на распахнутый сюртук, в бледно-палевых перчатках и щегольских сапогах из лакированной кожи.   [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]"
"над этим молодым поколением, остриженным", а-ля ,"мужик, лишь только бы над нами- ",1877,художественная,пьеса,"Где нам, старым парикам, насмехаться над этим молодым поколением, остриженным а-ля мужик, лишь только бы над нами- то не смеялись…   [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]"
"так же, как старинная мебель", а-ля ,"помпадур, резьба на дереве, готическая архитектура, ",1877,художественная,пьеса,"Ну да, вошла опять в моду точно так же, как старинная мебель а-ля помпадур, резьба на дереве, готическая архитектура, китайские куклы, наклейные столы и множество других вещей, на которые разорялись наши предки и которые несколько лет тому назад казались нам самыми вычурными и смешными образцами безвкусия. [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]"
В одном простенке туалетный столик, а-ля ,помпадур с серебряным вызолоченным лавабо и ,1877,художественная,пьеса,"В одном простенке туалетный столик а-ля помпадур с серебряным вызолоченным лавабо и со всеми своими прихотливыми затеями; в другом ― довольно большой стол; на нем, в ящике за стеклом, коллекция золотых табакерок: круглых, овальных, четырехугольных, высоких, плоских, сундучками, брусочками, лодочками, с эмалью, резьбою, антиками и портретами. [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]"
рыжей бородкой и длинными волосами, а-ля ,мужик.,1877,художественная,пьеса,Более всех разглагольствовал один барин с рыжей бородкой и длинными волосами а-ля мужик. [А. Н. Островский. Последняя жертва (1877)] [омонимия не снята]
"в шлепанцах с загнутыми носами,", а-ля ,гарун- аль- рашидовские.  ,1925-1952,"нехудожественная, публицистика",мемуары,"В белых хламидах, в полосатых узорных рубахах до пола, удобных при жаре, в шлепанцах с загнутыми носами, а-ля гарун- аль- рашидовские.   [Т. Л. Щепкина-Куперник. О Чехове (1925-1952)] [омонимия не снята]"
Ширвиндта, а-ля ,Троцкий склонилась над бумагами…,1924-1934,художественная,рассказ,Ширвиндта а-ля Троцкий склонилась над бумагами… [А. П. Хейдок. Таежная сказка (1924-1934)] [омонимия не снята]
"полукруглых окон, пилястрами, капителями, лепниной", а-ля ,"Гранд- Опера», глубоким портиком с колоннами.",2004,"нехудожественная, публицистика",статья,"Снизу дворец как дворец, обычное такое европейское трехэтажное палаццо с рядами полукруглых окон, пилястрами, капителями, лепниной а-ля «Гранд- Опера», глубоким портиком с колоннами. [Николай Ванин. Летние покатушки // «Хулиган», 2004.07.15] [омонимия не снята]"
свободно вращаться в горизонтальной плоскости (, а-ля ,колеса тележек в супермаркетах).,2003,"нехудожественная, публицистика",статья,"При этом оно закреплено так, что может свободно вращаться в горизонтальной плоскости ( а-ля колеса тележек в супермаркетах). [Иван Савелов. Пироги с цифирью // «Советская Россия», 2003.01.15] [омонимия не снята]"
тремя сестрами и носит баки, а-ля ,"Пушкин; прием простенький, а какие коллизии! ",1982-1985,художественная,повесть,"Он из тех, которые классику трактуют на новый лад; у него один из персонажей « Трех сестер» живет с тремя сестрами и носит баки а-ля Пушкин; прием простенький, а какие коллизии!  [Виктор Астафьев. Печальный детектив (1982-1985)] [омонимия не снята]"
выстроены в этакое трехмерное каре ―, а-ля ,Луи Надцатый ― вертящихся веретен.,1983,художественная,роман,Представляете себе картину: все валентные электроны в металлическом кубике выстроены в этакое трехмерное каре ― а-ля Луи Надцатый ― вертящихся веретен. [В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 5 (1983)] [омонимия не снята]
"короткими, рублеными строчками, односложными абзацами,", а-ля ,"король фельетонистов великий Влас Дорошевич, человек ",1966,художественная,"миниатюра, рассказ цикл","И лишь один раз в редакции « Одесских новостей», заваленный узкими гранками, испятнанными черными оттисками пальцев, известный журналист Герцо- Виноградский, который под псевдонимом Лоэнгрин вел ежедневный фельетон, короткими, рублеными строчками, односложными абзацами, а-ля король фельетонистов великий Влас Дорошевич, человек с худым интеллигентным лицом и длинными усами Верхарна, мельком взглянув на меня сквозь все то же стальное чеховское пенсне, вдруг чем-то во мне заинтересовался ― трудно [А. А. Ливеровский. Журавлиная родина. Рассказы охотника (1966)] [омонимия не снята]"
"своей великолепной большой головой, причесанной", а-ля ,"Титус, с квадратным подбородком, что не ",1966,художественная,"миниатюра, рассказ цикл","Кивая своей великолепной большой головой, причесанной а-ля Титус, с квадратным подбородком, что не соответствовало его небольшому росту, он говорил:    [А. А. Ливеровский. Журавлиная родина. Рассказы охотника (1966)] [омонимия не снята]"
фантазию с бантом и шляпу «, а-ля ,"черт побери», и все же дальше ",2008,художественная,роман,"нее фантазию с бантом и шляпу « а-ля черт побери», и все же дальше разговоров о книжечках никуда с училкой не забрел, не вышло у них романа, отвергла его учительша. [Марина Палей. Дань саламандре (2008)] [омонимия не снята]"
отнюдь не нуждалась в наряде, а-ля ,"чехол для танка», но и в ",1970-1979,"нехудожественная, публицистика",мемуары,"Ольга отнюдь не нуждалась в наряде а-ля «чехол для танка», но и в платьице для семиклассницы ей было не втиснуться. [Варлам Шаламов. О Колыме (1970-1979)] [омонимия не снята]"
деревянным креслом на кухне ― стилизация, а-ля ,рюсс начала века…,2002,"нехудожественная, публицистика",заметка,"Помню их дом, квартиру с мебелью красного дерева, с бюстом А. С. Пушкина, с картинами, эскизами их друга Тышлера, с двумя борзыми собаками ( они были лишь до войны), с фотографиями Сергуна, С. А. Есенина ( он и дядя Толя в цилиндрах), с деревянным креслом на кухне ― стилизация а-ля рюсс начала века… [Новости домашние // «Домовой», 2002.04.04] [омонимия не снята]"
