Left context;Center;Right context;Created;Type;Full context;Left_context_POS;Right_context_POS
И́ли что́ услы́шал.; словно ;за дере́вню погуля́ть ты вы́шел.  ;1978-1983;художественный;И́ли что́ услы́шал. Сло́вно за дере́вню погуля́ть ты вы́шел.   [Аида Зябликова, Анатолий Аляшев, Туве Янссон. Муми-тролль, м/ф (1978-1983)] [омонимия не снята];ADJS;PREP
О́н /; словно ;зо́рька поутру́ / Гори́т над голово́ой! ;1978;художественный;О́н / сло́вно зо́рька поутру́ / Гори́т над голово́ой!  [Михаил Григорьев (Гутгарц), Михаил Лозинский, Ричард Шеридан. Дуэнья, к/ф (1978)] [омонимия не снята];UNKN;NOUN
О́н /; словно ;зо́рька поутру́ / Гори́т над голово́ой! ;1978;художественный;О́н / сло́вно зо́рька поутру́ / Гори́т над голово́ой!  [Михаил Григорьев (Гутгарц), Михаил Лозинский, Ричард Шеридан. Дуэнья, к/ф (1978)] [омонимия не снята];UNKN;NOUN
О́н /; словно ;зо́рька поутру́ / Гори́т над голово́ой! ;1978;художественный;О́н / сло́вно зо́рька поутру́ / Гори́т над голово́ой!  [Михаил Григорьев (Гутгарц), Михаил Лозинский, Ричард Шеридан. Дуэнья, к/ф (1978)] [омонимия не снята];UNKN;NOUN
скажи́ / что о́н об е́й /; словно ;пое́т како́й / де́нь и но́чь мечта́ет…  ;2008;художественный;Ты́ его́ Лизаве́те скажи́ / что о́н об е́й / сло́вно пое́т како́й / де́нь и но́чь мечта́ет…   [Преломление (Орск). Д/ф из цикла «Письма из провинции» (ТК «Культура») (2008) // ТК «Культура»] [омонимия не снята];UNKN;NOUN
глаза́ в сто́рону секретаря́ райко́ма,; словно ;ища́ у него́ подде́ржки.;2005;художественный;Да́, строгачо́м зде́сь не отде́лаешься», ― трево́жно поду́мал Никола́й Алекса́ныч и нево́льно скоси́л глаза́ в сто́рону секретаря́ райко́ма, сло́вно ища́ у него́ подде́ржки. [Валентина Чубенко. Программа «Кто мы в этой жизни» о директоре благотворительного фонда «Родная Балашиха» Л.А. Самоделовой (2005) // ГРТК «Подмосковье» / Передача «Берег надежды»] [омонимия не снята];NOUN;UNKN
Е́шь и ничего́ не чу́вствуешь!; словно ;в забытьи́ё! ;1974;художественный;"Е́шь и ничего́ не чу́вствуешь! Сло́вно… в забытьи́ё!  [Подвиг во льдах. Хроника Челюскинской эпопеи (1974) // пластинка 30см/33об, http://www.staroeradio.ru/audio/1067; использованы записи Центрального госархива звукозаписей СССР] [омонимия не снята]";VERB;PREP
Э́ко… разреве́лся /; словно ;ба́ба.;1974;художественный;"Э́ко… разреве́лся / сло́вно ба́ба. [Подвиг во льдах. Хроника Челюскинской эпопеи (1974) // пластинка 30см/33об, http://www.staroeradio.ru/audio/1067; использованы записи Центрального госархива звукозаписей СССР] [омонимия не снята]";VERB;NOUN
Э́то… Трещи́т /; словно ;кастрю́ля!   ;1974;художественный;"Э́то… Трещи́т / сло́вно кастрю́ля!    [Подвиг во льдах. Хроника Челюскинской эпопеи (1974) // пластинка 30см/33об, http://www.staroeradio.ru/audio/1067; использованы записи Центрального госархива звукозаписей СССР] [омонимия не снята]";NOUN;NOUN
Тепе́рь но́вая / больша́я жи́знь; словно ;погрузи́ла на́с сра́зу во все́ вчера́шние ;1967-1971;художественный;Тепе́рь но́вая / больша́я жи́знь сло́вно погрузи́ла на́с сра́зу во все́ вчера́шние и за́втрашние / отдалённые и о́чень ва́жные пробле́мы / и что́бы реши́ть и́х / мы́ поро́й отправля́емся к други́м лю́дям. [И.Л. Андроников. Четыре часа из жизни Блока (1967-1971) // «Старое радио» http://control.audiopedia.su/audio/8662] [омонимия не снята];NOUN;VERB
; словно ;всё то / что́ многострада́льно накопи́лось в ;1967-1971;художественный;Сло́вно всё то / что́ многострада́льно накопи́лось в душе́ за века́ / в пе́сне вы́лилось исповедально / чу́до / ра́дость и го́ре / тоска́… И душа́ преиспо́лнена чу́вства / не́ту э́того чу́вства святе́й. [И.Л. Андроников. Четыре часа из жизни Блока (1967-1971) // «Старое радио» http://control.audiopedia.su/audio/8662] [омонимия не снята];;ADJF
жа́ркий де́нь / а ва́ше лицо́; словно ;замёрзло.  ;1990;художественный;Полко́вник / сего́дня тако́й жа́ркий де́нь / а ва́ше лицо́ сло́вно замёрзло.   [Михаил Коновальчук, Сергей Сельянов. Духов день, к/ф (1990)] [омонимия не снята];UNKN;ADJS
пло́ской/ а соверше́нно полукру́глой подо́шве/; словно ;нама́занные стеари́ном.;1979;художественный;Кро́ме того́/ они́ бы́ли на како́й-то не пло́ской/ а соверше́нно полукру́глой подо́шве/ сло́вно нама́занные стеари́ном. [Григорий Горин, Марк Захаров. Тот самый Мюнхгаузен, к/ф (1979)] [омонимия не снята];NOUN;PRTF
подста́вки/ то ста́л засу́чивать штаны́/; словно ;ле́з в холо́дную во́ду.  ;1979;художественный;А када́ добра́лся до дирижёрской подста́вки/ то ста́л засу́чивать штаны́/ сло́вно ле́з в холо́дную во́ду.   [Григорий Горин, Марк Захаров. Тот самый Мюнхгаузен, к/ф (1979)] [омонимия не снята];UNKN;NOUN
У балко́на я́ склонён / /; словно ;па́ж у тро́на.;1979;художественный;У балко́на я́ склонён / / Сло́вно па́ж у тро́на. [Евгений Татарский, Роберт Стивенсон, Эдгар Дубровский. Клуб самоубийц, или приключения титулованной особы | Приключения принца Флоризеля, к/ф (1979)] [омонимия не снята];PRTS;NOUN
За́л засты́л /; словно ;к по́лу приро́с / Все́ онеме́ли и ;1979;художественный;За́л засты́л / сло́вно к по́лу приро́с / Все́ онеме́ли и в глаза́х вопро́с. [Евгений Татарский, Роберт Стивенсон, Эдгар Дубровский. Клуб самоубийц, или приключения титулованной особы | Приключения принца Флоризеля, к/ф (1979)] [омонимия не снята];VERB;PREP
Ге́рцен не суме́л / Толсто́й недопо́нял.; словно ;в исто́рии ору́довала компа́ния дво́ечников.;2008;художественный;Ге́рцен не суме́л / Толсто́й недопо́нял. Сло́вно в исто́рии ору́довала компа́ния дво́ечников. [Истоки (Крестцы). Д/ф из цикла «Письма из провинции» (ТК «Культура») (2008) // ТК «Культура»] [омонимия не снята];VERB;PREP
э́то на всё посмотре́л / и́…; словно ;ко́лом меня́ по башке́ та́к уда́рило! ;2010;научный;Я́ во́т ка́к-то во́т на э́то на всё посмотре́л / и́… сло́вно ко́лом меня́ по башке́ та́к уда́рило!  [Лев Зеленый. Солнечная империя. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята];UNKN;NOUN
; словно ;то́поль шелестя́щий / Ста́н тво́й не́жный для ;2006;публицистический;Сло́вно то́поль шелестя́щий / Ста́н тво́й не́жный для меня́ / Све́тит ра́дугой блестя́щей Ста́н тво́й не́жный для меня́. [Алексей Попов. Спортивный репортаж: Формула-1. Гран-при Монако. Монте-Карло (25.05.2006) (2006) // REN-TV, прямой эфир] [омонимия не снята];;NOUN
у меня́ все́ фигу́ры менуве́та; словно ;коро́ва языко́м из па́мяти слизну́ла! ;2006;разговорный;А у меня́ все́ фигу́ры менуве́та сло́вно коро́ва языко́м из па́мяти слизну́ла!  [Рубрика «Лицом к барьеру» на Радио «Свобода» (2006) // Фонотека ИРЯ им. В.В. Виноградова РАН] [омонимия не снята];NOUN;NOUN
О́н ве́рит вздо́рному вы́мыслу сочини́теля; словно ;Свяще́нному Писа́нию.;1968;художественный;О́н ве́рит вздо́рному вы́мыслу сочини́теля сло́вно Свяще́нному Писа́нию. [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];NOUN;ADJF
Киха́но / ка́к ра́но вы́ подня́лись /; словно ;просто́й мужи́к.;1968;художественный;Сеньо́р Киха́но / ка́к ра́но вы́ подня́лись / сло́вно просто́й мужи́к. [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];VERB;VERB
Я́; словно ;пти́чка в кле́тке.;1968;художественный;Я́ сло́вно пти́чка в кле́тке. [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];UNKN;NOUN
Я́… я́ слы́шу тебя́ /; словно ;бы и́здали.;1968;художественный;Я́… я́ слы́шу тебя́ / сло́вно бы и́здали. [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];UNKN;PRCL
то́ шёпот ва́ш очарова́л меня́; словно ;весе́нний ветеро́к.  ;1968;художественный;Уж на что́ я́ доброде́телен / но и то́ шёпот ва́ш очарова́л меня́ сло́вно весе́нний ветеро́к.   [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];UNKN;ADJF
по́сле уда́чи с похище́нием Ги́тлер; словно ;сошёл с ума́.;1956;художественный;Зна́ете / месье́ Легрэ́н / по́сле уда́чи с похище́нием Ги́тлер сло́вно сошёл с ума́. [Марлен Хуциев, Феликс Миронер. Весна на Заречной улице, к/ф (1956)] [омонимия не снята];NOUN;VERB
Судьба́ /; словно ;наро́чно / свела́ на́с вме́сте.;1956;художественный;Судьба́ / сло́вно наро́чно / свела́ на́с вме́сте. [Марлен Хуциев, Феликс Миронер. Весна на Заречной улице, к/ф (1956)] [омонимия не снята];UNKN;ADJS
Я́ брожу́ но́чью по го́роду /; словно ;те́нь.;1950-1965;художественный;Я́ брожу́ но́чью по го́роду / сло́вно те́нь. [И.С. Тургенев. Senilia (исп. А.Г. Коонен) (1950-1965) // «Старое радио»] [омонимия не снята];NOUN;NOUN
на́м услы́шать / ка́к переклика́ются столе́тия /; словно ;перезво́н стари́нных ба́шенных часо́в или го́вор ;2008;художественный;"Они́ помогли́ на́м услы́шать / ка́к переклика́ются столе́тия / сло́вно перезво́н стари́нных ба́шенных часо́в или го́вор ста́рых колоко́лен. [Ивановка… две судьбы. Д/ф из серии ""Письма из провинции"" (2008) // Т/к «Культура»] [омонимия не снята]";NOUN;NOUN
всё не́бо полно́ таи́нственных зна́мений /; словно ;э́то живы́е существа́ / рассе́янные по ра́зным ;1987;художественный;Быва́ют вечера́ / когда́ всё не́бо полно́ таи́нственных зна́мений / сло́вно э́то живы́е существа́ / рассе́янные по ра́зным плане́там. [Владимир Хотиненко, Надежда Кожушаная, Святослав Рыбас. Зеркало для героя, к/ф (1987)] [омонимия не снята];NOUN;ADJS
го́споди / когда́ всё э́то ко́нчится.; словно ;смо́тришь в бино́кль перевёрнутый.;1937;художественный;го́споди / когда́ всё э́то ко́нчится. Сло́вно смо́тришь в бино́кль перевёрнутый. [Алексей Каплер, Сергей Юткевич. Шахтеры, к/ф (1937)] [омонимия не снята];VERB;VERB
когда́ она́ улыба́ется / её но́сик; словно ;на кры́льях взлета́ет вве́рх.;2006;разговорный;"А когда́ она́ улыба́ется / её но́сик сло́вно на кры́льях взлета́ет вве́рх. [Марьяна Арзуманова, Петр Вайль. Программа ""Свободный день"". Рубрика ""Короткие истории о любви"" (2006) // Фонотека ИРЯ им. В.В. Виноградова РАН] [омонимия не снята]";NOUN;PREP
так называ́емым ле́нинским но́рмам жи́зни/; словно ;э́то не Ле́нин бы́л инициа́тором гражда́нской ;2005;художественный;Па́ртия благополу́чно была́ укры́та зо́нтиком возвраще́ния к так называ́емым ле́нинским но́рмам жи́зни/ сло́вно э́то не Ле́нин бы́л инициа́тором гражда́нской войны́ и сло́вно э́то не по его́ указа́нию в на́шей стране́ создава́лись пе́рвые ко̀нцлагеря́.   [В.Г. Распутин. Во глубине Сибири. Валентин Распутин (2005) // Т/к «Культура»] [омонимия не снята];VERB;ADJS
Да ведь богатыри́- то; словно ;ро́стом- то покрупне́й должны́ бы́ть / а́?   ;1952;художественный;Да ведь богатыри́- то сло́вно ро́стом- то покрупне́й должны́ бы́ть / а́?    [А.П. Чехов. Хамелеон (исп. И.В. Ильинский) (1952) // http://cccp.tv/video/Khameleon/] [омонимия не снята];CONJ;NOUN
физионо́мии, и у дровяно́го скла́да,; словно ;из зе́мли́ вы́росши, собира́ется толпа́.;1975;художественный;"Из двере́й и о́кон высо́вываются со́нные физионо́мии, и у дровяно́го скла́да, сло́вно из зе́мли́ вы́росши, собира́ется толпа́. [В.П. Некрасов. Персональное дело коммуниста Юфы (1975) // Радио ""Свобода"", автор читает повесть ""Персональное дело коммуниста Юфы"" (""Время и мы"", №5, Тель-Авив)] [омонимия не снята]";NOUN;PREP
мне́ различи́ть двойнико́в / они́ похо́жи; словно ;перча́тки.  ;2006;публицистический;Отве́тьте то́лько / ка́к мне́ различи́ть двойнико́в / они́ похо́жи сло́вно перча́тки.   [Андрей Голованов. Спортивный репортаж: хоккей. Олимпийские игры. Россия - Словакия. 15.02.2006 (2006) // «Первый канал»/ прямой эфир] [омонимия не снята];NOUN;NOUN
Вы́ со мно́й говори́те та́к /; словно ;я́ ва́ш аге́нт.;2011;художественный;Вы́ со мно́й говори́те та́к / сло́вно я́ ва́ш аге́нт. [В краю белого ягеля (Сыктывкар, Республика Коми). Д/ф из цикла «Письма из провинции» (ТК «Культура») (2011) // Т/к «Культура». Д/ф из цикла «Письма из провинции»] [омонимия не снята];NOUN;UNKN
легко́ и бе́режно выта́скивают ни́ти /; словно ;пропуска́я скупо́е со́лнце скво́зь ма́ленькие око́шки.;2008;художественный;Натру́женные ру́ки / привы́кшие к тяжёлому крестья́нскому труду́ / легко́ и бе́режно выта́скивают ни́ти / сло́вно пропуска́я скупо́е со́лнце скво́зь ма́ленькие око́шки. [«Разлом» (Алатырь). Д/ф из цикла «Письма из провинции» (2008) // Т/к «Культура»] [омонимия не снята];NOUN;GRND
И поняла́ / что́ « во мне́; словно ;дре́внее ве́че / шуми́т новгоро́дская кро́вь.;2008;художественный;И поняла́ / что́ « во мне́ сло́вно дре́внее ве́че / шуми́т новгоро́дская кро́вь. [«Разлом» (Алатырь). Д/ф из цикла «Письма из провинции» (2008) // Т/к «Культура»] [омонимия не снята];UNKN;NOUN
Уса́дьба сно́ва задыша́ла /; словно ;Серге́й Васи́льич сюда́ верну́лся.;2006;разговорный;Уса́дьба сно́ва задыша́ла / сло́вно Серге́й Васи́льич сюда́ верну́лся. [Евгений Орлов, Михаил Донков, Татьяна Мошина. Радиопрограмма «Пешком в историю» (2006) // РТВ «Петрозаводск»] [омонимия не снята];VERB;VERB
; словно ;я домработница какая или деревенская баба…;1988;публицистический;Словно я домработница какая или деревенская баба… [Владимир Перетурин. Спортивный репортаж: футбол. СССР - Голландия. Чемпионат Европы 1988 г. (1988) // интернет] [омонимия не снята];;NPRO
ко́мнаты и не́рвничать и счита́ть/; словно ;она́ тебе́ нужна́/ вот и́менно/ сло́вно ;1963;художественный;Е́сли э́та сме́сь для тебя́ ничто́/ заче́м тогда́ сиде́ть в глубине́ ко́мнаты и не́рвничать и счита́ть/ сло́вно она́ тебе́ нужна́/ вот и́менно/ сло́вно заче́м-то нужна́. [Н.С. Лесков. Воительница (исп. Ф.Г. Раневская) (1963) // Великие исполнители. Фаина Раневская. - «Мелодия», «Комсомольская правда», 2012] [омонимия не снята];INFN;UNKN
и всех / так сказать / передергивает /; словно ;мокрым пальцем по стеклу.;2001;разговорный;Начинают наигрывать какую-то мелодию / потом бах… последнюю ноту не нажал / отошел / и всех / так сказать / передергивает / словно мокрым пальцем по стеклу. [Беседа с социологом на общественно-политические темы (Самара) (2001) // Фонд «Общественное мнение»] [омонимия не снята];VERB;ADJF
Что-то такое / «; словно ;крылья сломанные / руки в этом черном ;1976;художественный;Что-то такое / « Словно крылья сломанные / руки в этом черном сюртуке…»  [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята];ADJF;NOUN
почему́-то сны́ его́ возду́шны / И; словно ;в де́тстве / бормота́нье / вздо́р.;;художественный;Но почему́-то сны́ его́ возду́шны / И сло́вно в де́тстве / бормота́нье / вздо́р. [Юрий Казаков. Голубое и зелёное // «Старое радио» http://www.staroeradio.ru/audio/7967] [омонимия не снята];CONJ;PREP
Партнёры; словно ;предлага́ют ему́: ну́ покажи́ / покажи́ / мо́жешь ;2005;публицистический;Партнёры сло́вно предлага́ют ему́: ну́ покажи́ / покажи́ / мо́жешь ты́ сыгра́ть в сти́ле Робе́рто Ка́рлоса. [Комментарий к футбольному матчу ЦСКА–«Спортинг» в финале кубка УЕФА (2005) // Из материалов Санкт-Петербургского университета] [омонимия не снята];NOUN;VERB
Я́ стоя́л/; словно ;очаро́ванный/ и да́же не заме́тил как ;1962;художественный;Я́ стоя́л/ сло́вно очаро́ванный/ и да́же не заме́тил как появи́лась она́/ протяну́ла мне́ горя́чую/ ма́ленькую ру́ку и сказа́ла/   [Анатолий Гребнев, Рувим Фраерман, Юрий Карасик. Дикая собака динго (1962)] [омонимия не снята];VERB;PRTF
уме́ мно́жество ро́дственных о́тзвуков, кото́рые; словно ;жа́ждали возмо́жно до́льше оста́ться в стихе́, ;2006;художественный;Ка́ждый зву́к буди́л в его́ уме́ мно́жество ро́дственных о́тзвуков, кото́рые сло́вно жа́ждали возмо́жно до́льше оста́ться в стихе́, то́ замира́я, то́ возника́я опя́ть. [Иван Вырыпаев. Эйфория, к/ф (2006)] [омонимия не снята];ADJF;VERB
Ску́чный тако́й/ уны́лый/; словно ;потеря́л что́-нибудь или со́весть нечиста́.  ;1972;художественный;Ску́чный тако́й/ уны́лый/ сло́вно потеря́л что́-нибудь или со́весть нечиста́.   [Борис Васильев, Станислав Ростоцкий. А зори здесь тихие, к/ф (1972)] [омонимия не снята];ADJF;VERB
"клячонки; обтерханные мужички; исхудалые / шершавые /"; словно ;"обглоданные коровы; даже ракиты ― с ободранной ";1976;художественный;"Воздухом эпохи насыщены и подробности пейзажа / красноречиво говорящие о невыносимой нужде / голоде / разорении крестьян; не реки / а речки; не деревни / а деревеньки / избенки / клячонки; обтерханные мужички; исхудалые / шершавые / словно обглоданные коровы; даже ракиты ― с ободранной корой и обломанными ветками стоят / как нищие в лохмотьях.   [Георгий Полонский, Динара Асанова. Ключ без права передачи, к/ф (1976)] [омонимия не снята]";ADJF;PRTF
всё слу́шала/ и вдру́г всё; словно ;кто́ меня́ ста́л за́ нос води́ть/ ;1978;художественный;Я́ э́то всё слу́шала/ и вдру́г всё сло́вно кто́ меня́ ста́л за́ нос води́ть/ и уда́рил на меня́ со́н/ и в одну́ мину́ту я́ засну́ла. [Валентин Распутин, Евгений Ташков. Уроки французского, к/ф (1978)] [омонимия не снята];ADJF;UNKN
могла́/ потому́ что всё на́с/; словно ;оре́хи в решете́/ протря́хивало.  ;1978;художественный;То́лько кре́пко я́ засну́ть ника́к не могла́/ потому́ что всё на́с/ сло́вно оре́хи в решете́/ протря́хивало.   [Валентин Распутин, Евгений Ташков. Уроки французского, к/ф (1978)] [омонимия не снята];NOUN;NOUN
Мя́ч; словно ;прилипа́л к её раке́тке.;1970-1975;публицистический;Мя́ч сло́вно прилипа́л к её раке́тке. [К.И. Чуковский. Александр Куприн (1970-1975) // ImWerden] [омонимия не снята];NOUN;VERB
Э́  [нрзб]  полете́л /; словно ;твоя́ блоха́! ;1970-1975;публицистический;Э́  [нрзб]  полете́л / сло́вно твоя́ блоха́!  [К.И. Чуковский. Об Александре Блоке (1970-1975) // ImWerden] [омонимия не снята];VERB;UNKN
Они́ шли́ по у́лице… Се́рые…; словно ;и́х тща́тельно обма́зали.;1964;художественный;Они́ шли́ по у́лице… Се́рые… сло́вно и́х тща́тельно обма́зали. [А.П. Чехов. Индейский петух (исп. Ф.Г. Раневская) (1964) // Великие исполнители. Фаина Раневская. - «Мелодия», «Комсомольская правда», 2012] [омонимия не снята];UNKN;UNKN
пе́рвой игре́ э́э / Бела́нов бы́л; словно ;в заса́де… находи́лся на фла́нге / и́зредка ;1975;разговорный;Е́сли вы́ по́мните / в пе́рвой игре́ э́э / Бела́нов бы́л сло́вно в заса́де… находи́лся на фла́нге / и́зредка выходи́л вперёд. [А.В. Шекин-Кротова. Беседа В.Д. Дувакина с А.В. Щекин-Кротовой (1975) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 1999] [омонимия не снята];VERB;PREP
ща́с ва́н Ба́стен нару́шил пра́вила /; словно ;ожида́я / что Сигмату́лин бу́дет де́лать подка́т ;1975;разговорный;Ва́н Ба́стен и Сигмату́лин / ща́с ва́н Ба́стен нару́шил пра́вила / сло́вно ожида́я / что Сигмату́лин бу́дет де́лать подка́т са́м / пры́гнул и сыгра́л непра́вильно про́тив на́шего центра́льного защи́тника. [А.В. Шекин-Кротова. Беседа В.Д. Дувакина с А.В. Щекин-Кротовой (1975) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 1999] [омонимия не снята];VERB;GRND
Дотро́нулся до мяча́ Гу́ллит /; словно ;обжёгся  [смех] скоре́е ру́ку отдёрнул.;1975;разговорный;Дотро́нулся до мяча́ Гу́ллит / сло́вно обжёгся  [смех] скоре́е ру́ку отдёрнул. [А.В. Шекин-Кротова. Беседа В.Д. Дувакина с А.В. Щекин-Кротовой (1975) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 1999] [омонимия не снята];NOUN;VERB
меня́/ рука́ у неё холо́дная/; словно ;чужа́я.  ;1965;публицистический;Но она́ не гляди́т на меня́/ рука́ у неё холо́дная/ сло́вно чужа́я.   [К.И. Чуковский. О Михаиле Зощенко (1965) // ImWerden Выступление в ЦДЛ в 1965 г.] [омонимия не снята];ADJF;GRND
своих сторонников на ключевые посты.; словно ;готовится к прыжку.;2006;публицистический;своих сторонников на ключевые посты. Словно готовится к прыжку. [Интервью с Сергеем Лукьяненко на радиостанции «Маяк» (2006) // Из коллекции НКРЯ] [омонимия не снята];NOUN;VERB
И та́к на меня́ посмотре́ли /; словно ;мы́ прони́кли в и́х владе́ния.  ;2006;публицистический;И та́к на меня́ посмотре́ли / сло́вно мы́ прони́кли в и́х владе́ния.   [Виктор Гусев. Спортивный репортаж: футбол. Россия – Бразилия. Товарищеский матч. 01.03.2006. (2006) // «Первый канал», прямой эфир] [омонимия не снята];VERB;UNKN
контролёром на желе́зной доро́ге,―; словно ;специа́льно гото́вился к свое́й еди́нственной важне́йшей ;1889-2010;художественный;контролёром на желе́зной доро́ге,― сло́вно специа́льно гото́вился к свое́й еди́нственной важне́йшей профе́ссии― изобрази́теля нра́вов совреме́нных ему́ люде́й и люди́шек. [А.П. Чехов. Скучная история (исп. О.П. Табаков) (1889-2010) // http://staroeradio.ru/audio/19176] [омонимия не снята];NOUN;ADJS
Ну́ вы́ и ковыря́етесь.; словно ;генера́ла собира́ете аль мини́стра како́го.  ;1973;разговорный;Ну́ вы́ и ковыря́етесь. Сло́вно генера́ла собира́ете аль мини́стра како́го.   [М.М. Бахтин. Беседы с М. Бахтиным (1973) // В.Д.Дувакин. Беседы с Михаилом Михайловичем Бахтиным. М., 2002, 1996] [омонимия не снята];VERB;VERB
Алекса́ндр Ива́ныч встрепену́лся, оживи́лся, обра́довался,; словно ;ему́ рассказа́ли о како́м-то фантасти́ческом чу́де, ;1968;художественный;Узна́в об э́том, Алекса́ндр Ива́ныч встрепену́лся, оживи́лся, обра́довался, сло́вно ему́ рассказа́ли о како́м-то фантасти́ческом чу́де, и поспеши́л по-мальчи́шески притаи́ться в куста́х, что́бы уви́деть свои́ми глаза́ми зверька́, соверша́ющего набе́ги на ре́пинский сто́л. [Валерий Фрид, Ганс-Христиан Андерсен, Надежда Кошеверова, Юлий Дунский. Старая, старая сказка, к/ф (1968)] [омонимия не снята];VERB;UNKN
Разгово́р бы́л са́мый зауря́дный,; словно ;встре́тились случа́йные знако́мые, не обременённые па́мятью ;1968;художественный;Разгово́р бы́л са́мый зауря́дный, сло́вно встре́тились случа́йные знако́мые, не обременённые па́мятью о былы́х отноше́ниях. [Валерий Фрид, Ганс-Христиан Андерсен, Надежда Кошеверова, Юлий Дунский. Старая, старая сказка, к/ф (1968)] [омонимия не снята];ADJF;VERB
что́ его́ невозмо́жно бы́ло узна́ть,; словно ;его́ подмени́ли.;1968;художественный;В три́дцать седьмо́м году́ Купри́н возврати́лся на ро́дину тако́й измождённый и хи́лый, что́ его́ невозмо́жно бы́ло узна́ть, сло́вно его́ подмени́ли. [Валерий Фрид, Ганс-Христиан Андерсен, Надежда Кошеверова, Юлий Дунский. Старая, старая сказка, к/ф (1968)] [омонимия не снята];INFN;UNKN
уж така́я-то она́ ре́звая, краси́вая,; словно ;се́рна, — ну́, про́сто, по его́ слова́м, ;1953;художественный;Зашёл разгово́р о лошадя́х, и Печо́рин на́чал расхва́ливать ло́шадь Ка́збича: уж така́я-то она́ ре́звая, краси́вая, сло́вно се́рна, — ну́, про́сто, по его́ слова́м, э́такой и в це́лом ми́ре не́т.   [М.Ю. Лермонтов. Бэла (исп. Б.Н. Ливанов) (1953) // «Старое радио» http://www.staroeradio.ru/audio/10187] [омонимия не снята];GRND;ADJS
И облака́ / и во́лны /; словно ;она́ ви́дела и́х впервы́е.;2007;научный;И облака́ / и во́лны / сло́вно она́ ви́дела и́х впервы́е. [Семинар по роману И.С. Тургенева «Отцы и дети» (2007) // Из коллекции НКРЯ] [омонимия не снята];NOUN;UNKN
особенно вот после забитого гола; словно ;поймали кураж.;1970-1975;публицистический;Не могут разбежаться пока армейцы / нет вот той привычной мобильности / нет скорости / и очень здорово действуют на подборе футболисты « Спортинга» / особенно вот после забитого гола словно поймали кураж. [К.И. Чуковский. Самуил Маршак (1970-1975) // ImWerden] [омонимия не снята];NOUN;VERB
Ну и ку́клы.; словно ;живы́е.  ;2012;художественный;Ну и ку́клы. Сло́вно живы́е.   [След на песке (Касли, Челябинская область). Д/ф из цикла «Письма из провинции» (ТК «Культура») (2012) // Т/к «Культура». Д/ф из цикла «Письма из провинции»] [омонимия не снята];ADJS;NOUN
отры́вистому, нетерпели́вому, чёткому, беспоща́дно- вои́нственному,; словно ;"о́н высту́кивал два́ сло́га: "" Ма́р- ша́к"".";1965-1969-2016;художественный;"В конце́ двадца́тых годо́в молодо́й Самуи́л Марша́к приходи́л ко мне́ и стуча́л в мою́ две́рь, я́ всегда́ узнава́л его́ по э́тому сту́ку, отры́вистому, нетерпели́вому, чёткому, беспоща́дно- вои́нственному, сло́вно о́н высту́кивал два́ сло́га: "" Ма́р- ша́к"". [Ю.В. Трифонов. Игры в сумерках (исп. А. Бухмин) (1965-1969-2016) // https://onclip.pro/vid/AO61FGExgCE] [омонимия не снята]";ADJF;UNKN
познако́мился с ни́м: меня́ сра́зу; словно ;магни́том притяну́ла к нему́ его́ стра́стная ;1965-1969-2016;художественный;И ещё одно́ драгоце́нное ка́чество порази́ло меня́ в Маршаке́, едва́ то́ко я́ познако́мился с ни́м: меня́ сра́зу сло́вно магни́том притяну́ла к нему́ его́ стра́стная увлечённость, я́ бы да́же сказа́л, одержи́мость вели́кой наро́дной поэ́зией― ру́сской, неме́цкой, ирла́ндской, шотла́ндской, англи́йской. [Ю.В. Трифонов. Игры в сумерках (исп. А. Бухмин) (1965-1969-2016) // https://onclip.pro/vid/AO61FGExgCE] [омонимия не снята];NOUN;NOUN
